, es , ls , rx , a8 , a6 , 3series , 5series , 7series , xj , sclass ,model_strings
0,,,,,,,,,,-0.16666666666666666,[u'take previous sclass refresh model']
1,,,,,,,,,,,[]
2,,,,,,,,,,0.0,"[u'sale especially sclass especially swb', u'lexusls even sclass audi rep']"
3,,,0.45,,,,,,,,[u'second part rx incredibly well']
4,,,0.0,,,,,,,0.2,"[u'extension lexuses rx mainstream car', u'car lexuses rx competed wagon', u'headed much sclass sale worldwide', u'build mercedes sclass according not', u'anyone make sclass except mb']"
5,,,,,,,,,,0.5,[u'heritage feature sclass get sure']
6,,,0.0,,,,,,,-0.3125,"[u'also think sclass could stand', u'market work sclass sale mean', u'car lexuses rx gs gx', u'projected cl sclass model going', u'chart cl sclass add somewhere', u'ml clk sclass model given']"
7,,,,,,,,,,,[]
8,,,,,,,,,,,[]
9,,0.0,,,,,,,,0.4,"[u'mb e sclass car statistic', u'press praise ls attribute say', u'nobody saying sclass driver car', u'even drove sclass fit well', u'everyone know sclass sealed coffin']"
10,,,,,,,,,-0.3,,[u'not honest xj phaeton wear']
11,,,,,,,,,,,[]
12,,,,,,,,,,0.25,"[u'car cl sclass first one', u'lexus l sclass sedan not']"
13,,,,,,,,,,0.13636363636363635,[u'preview new sclass established car']
14,,,,,,,,,,,[]
15,,,0.0,,,,,,,,[u'path ditto rx setting bar']
16,,,,,,,,,,-0.5833333333333334,"[u'easy resell sclass demand low', u'sticker sell sclass base price']"
17,,,1.0,,,,,,,,[u'model gone rx lexus best']
18,,,,,,,,,,,[]
19,,,-0.16666666666666666,,,,,,,,[u'sun like rx previous post']
20,,,,,,,,,0.0,0.0,"[u'would take sclass xj m', u'take sclass xj m']"
21,,,,,,,,,,-0.25,"['', u'point secondly sclass sclass sell', u'secondly sclass sclass sell equally', u'sell equally sclass still expensive']"
22,,,0.0,,,,,,,,[u'segment lexuses rx sale wash']
23,,,0.0,,,,,,,0.0,"[u'selling v sclass price difference', u'people afford sclass sell fewer', u'le unit rx conservative excluded']"
24,,,,,,,,,,0.0,[u'would buy sclass phaeton hand']
25,,,,,,,,,,,[]
26,,,,,,,,,,-0.5,[u'expensive lexusls sclass xjr anyway']
27,,,0.0,,,,,,,,[u'lexuses highlander rx gx land']
28,,,,,,,,,,0.0,[u'thinking compeitive sclass anthing else']
29,,,,,,,,,,-0.056249999999999994,"[u'sale v sclass sale shall', u'shall guess sclass outsell going', u'let compare sclass mean really', u'not outsell sclass not price', u'lscan jump sclass especially sclass', u'sclass especially sclass price difference']"
30,,,,,,,,,,0.5333333333333333,"[u'one love sclass not much', u'released picture sclass people quick']"
31,,,,,,,,,,0.5666666666666668,"[u'huge dent sclass sale ya', u'interesting enough sclass actually sold']"
32,,,0.2857142857142857,,,,,,,0.25,"[u'price sold rx rx msrps', u'sold rx rx msrps right', u'le yet rx crush entire', u'cost gs sclass cost lexusls', u'cost lexusls sclass cost scand', u'speak give rx crush ml', u'bought lslooked sclass first decided']"
33,,,-0.5,,,,,,,,"[u'enclave actually rx laughable rendezvous', u'blue hair rx budget gmc']"
34,,,,,,,,,,,[]
35,,,,,,,,,,0.3,"[u'street noted sclass better wow', u'yes cl sclass arrived dealer']"
36,,,,,,,,,,,[]
37,,,,,,,,,,0.0,[u'strength exclusivity sclass exclusive car']
38,,,-0.19999999999999998,,,,,,,,"[u'fully loaded rx huge base', u'car sell rx unless want', u'lexus favor rx vehicle m']"
39,,,,,,,,,,0.0,"[u'class lexusls sclass sts converging', u'car room sclass either m']"
40,,,,,,,,,,0.5,"[u'compare powerful sclass lexusls fair', u'faster compare sclass lsand not', u'lsand not sclass glossing detail', u'see lsscored sclass performance le', u'talking wanted sclass matic nav', u'add option sclass get feature']"
41,,,0.0,,,,,,,,"[u'mercedes bmw rx rest suvs', u'claim fame rx lexusls sedan']"
42,,,,,,,,,0.0,0.3,"[u'engine powerful sclass l l', u'l l xj audi plan']"
43,,,,,,,,,0.0,,[u'car especially xj xk think']
44,,,,,,,,,,,[]
45,,,1.0,,,,,,,0.0,"[u'best seller rx type person', u'c e sclass mbs simply']"
46,,,,,,,,,,,[]
47,0.0,,,,,,,,,,[u'awd unlike es lot wood']
48,,,,,,,,,,,[]
49,,,,,,,,,,,[]
50,,,-0.5,,,,,,,,"[u'unable play rx sandbox need', u'want play rx sandbox say', u'volume lexuses rx seen status']"
51,,,,,,,,,,0.0,"[u'touch think sclass touch yup', u'continue outsell sclass time sale']"
52,,,,,,,,,,0.0,[u'dropping price sclass likely not']
53,,,,,,,,,,0.0,[u'hence liking sclass mushy steering']
54,,,,,,,,,,,[]
55,,,,,,,,,,-0.3125,"[u'ditto go sclass buyer see', u'lsthread traffic sclass thread mean']"
56,,,,,,,,,,0.375,[u'higher priced sclass better lower']
57,,,,,,,,,,,[]
58,,,,,,,,,,,[]
59,,,,,,,,,,0.0,"['', u'compared especially sclass car still', u'put hp sclass already low', u'challenge especially sclass despite hp']"
60,,,,,,,,,,,[]
61,,,,,,,,,,,[]
62,,,,,,,,,,,[]
63,,,,,,,,,,,[]
64,,,,,,,,,,0.0,[u'based post sclass board not']
65,,,,,,,,,,,[]
66,,,0.0,,,,,,,,[u'shifter since rx lexus automatic']
67,,,,,,,,,,0.0,"[u'currentsclass determine sclass somehow trumped', u'not compared sclass different car']"
68,,,,,,,,,,,[]
69,,,,,,,,,,,[]
70,,,,,,,,,,0.26136363636363635,"[u'blunder yet sclass could equipped', u'equipped new sclass tack tariff', u'say account sclass sale may', u'not awd sclass likely hot']"
71,,,,,,,,,,-0.5,"[u'buy compared sclass however price', u'expensive lexusls sclass xjr anyway']"
72,,,0.0,,,,,,,0.6,"[u'bar beyond sclass life change', u'put suspect sclass prayer matching', u'perfect competitor sclass whole argument', u'scenario add rx hybrid reach']"
73,,,,,,,,,,,[]
74,,,0.0,,,,,,,0.0,"[u'friend mb sclass majority bmw', u'retired except rx owner woman']"
75,,0.0,,,,,,,,0.3,"[u'around track ls trust sclass', u'ls trust sclass loses lexusls', u'road contrast sclass others universally', u'bags year sclass edge safety', u'line also sclass standard equipment', u'head flip sclass handy roll', u'side airbags sclass clk front']"
76,,,0.25,,,,,,,0.6363636363636364,"[u'included mb sclass without new', u'win road rx loses comparo', u'tranny even sclass notably slower']"
77,,,,,,,,,,,[]
78,,,,,,,,,,,[]
79,,,,,,,,,,,[]
80,,,,,,,,,,,[]
81,,,,,,,,,,,[]
82,,,,,,,,,,,[]
83,,,,,,,,,,,[]
84,,0.25,,,,,,,,-0.9,"[u'sticker sell sclass base price', u'point except sclass lexusls sclass', u'sclass lexusls sclass lease roughly', u'higher residual ls meaning even']"
85,,,,,,,,,,0.2727272727272727,"[u'sell new sclass sclass japan', u'new sclass sclass japan sclass', u'sclass japan sclass us especially', u'stand chance sclass come']"
86,,,,,,,,,,0.5,"[u'driven extensively sclass lexusls judge', u'lexusls time sclass many time']"
87,,,,,,,,,,,[]
88,,,,,,,,,,,[]
89,,,,,,,,,,,[]
90,,,0.0,,,,,,,-0.3,"[u'lexusls lexuses rx prove seem', u'wrong look sclass sec coupe']"
91,,,,,,,,,,0.30303030303030315,"[u'opinion current sclass best styled', u'anything previous sclass best styled', u'talk new sclass looking bad', u'give new sclass base form']"
92,0.13636363636363635,,,,,,,,,0.0,"['', u'share taillight sclass generation ago', u'look new es nothing collection', u'rear got sclass way way']"
93,,,0.0,,,,,,,,[u'compare lexuses rx sale not']
94,,,0.5,,,,,,,,[u'lexuses beat rx sale sure']
95,,,,,,,,,,,[]
96,,,,,,,,,,,[]
97,,,0.0,,,,,,,,[u'product lexuses rx order keep']
98,,,,,,,,,,,[]
99,,,,,,,,,,0.0,[u'price le sclass almost spec']
100,,,,,,,,,0.0,0.25595238095238093,"[u'saying single sclass model enough', u'enough hold xj methinks not', u'one supplement sclass pretty quick', u'using one sclass maybe possiblesclass']"
101,,0.0,,,,,,,,,[u'outcome evolution ls life agree']
102,,,,,,,,,,,[]
103,,,,,,,,,,0.0,[u'different story sclass obviously nothing']
104,,,0.0,,,,,,,,[u'car lexus rx suv aka']
105,,,,,,,,,,,[]
106,,,,,,,,,,,[]
107,,,,,,,,,,,[]
108,,,,,,,,,,,[]
109,,,0.0,,,,,,,,[u'gotten occasional rx avalon never']
110,,,,,,,,,,,[]
111,,,0.0,,,,,,,,[u'volume lexuses rx close vehicle']
112,,,,,,,,,,0.25,[u'course first sclass xjl contestant']
113,,,,,,,,,0.0,,"[u'thesclass lexusls xj almost always', u'non r xj upcoming soon']"
114,,,,,,,,,,,[]
115,,,,,,,,,,,[]
116,,,,,,,,,,,[]
117,,,,,,,,,,,[]
118,,,,,,,,,,0.0,"[u'capacity demand sclass beyond ken', u'fear slowing sclass sale buy']"
119,,,,,,,,,,0.7,"[u'case lsvs sclass comparison big', u'put lsagainst sclass admitting lsis', u'superior embattledsclass sclass ca make', u'lexusls correct sclass ever lost']"
120,,0.6,,,,,,,,,[u'nice baby ls showroom rather']
121,,,,,,,,,0.0,0.0,"[u'imo either sclass depending price', u'either way xj already managed']"
122,,,,,,,,,,0.0,[u'reflect cl sclass slr unit']
123,,,,,,,,,,0.0,"[u'virtually difference sclass lsin handling', u'direction competitor sclass always put', u'back day sclass saying moved']"
124,,0.0,0.0,,,,,,,0.21428571428571427,"[u'safety innovation sclass actually end', u'end safer ls actually not', u'class notice sclass rated large', u'convertible standard sclass since lexus', u'mb car rx exception every']"
125,,,0.0,,,,,,,,[u'lexuses tl rx mdx show']
126,,,,,,,,,,,[]
127,,0.0,,,,,,,,0.0,"[u'hear tps sclass cost ls', u'sclass cost ls jillionith time']"
128,,,,,,,,,,,[]
129,,,0.0,,,,,,,,[u'take fx rx anyday qx']
130,,,,,,,,,,0.3181818181818182,[u'challenge new sclass sign many']
131,,,,,,,,,,,[]
132,,0.5,,,,,,,,,[u'data show ls residual better']
133,,,,,,,,,,-0.25,"[u'won comparo sclass came dead', u'granted previous sclass bmw car', u'recently bought sclass tony sam', u'lexus come sclass lexusls one', u'one saying sclass sport sedan', u'rep previous sclass trashed soundly']"
134,,,,,,,,,,,[]
135,,,,,,,,,,,[]
136,,,0.0,,,,,,,,[u'core competence rx lexuses lsthat']
137,,,0.0,,,,,,,,[u'focused effort rx lexuses lexusls']
138,,0.0,,,,,,,,0.0,"[u'etc well sclass pop wo', u'entire class ls add price', u'not like sclass buyer pay']"
139,,,,,,,,,,,[]
140,,,-0.8,,,,,,,,[u'cost base rx know even']
141,,,,,,,,,,,[]
142,,,,,,,,,,0.13636363636363635,[u'new issue sclass matic recall']
143,,0.0,,,,,,,,,[u'end lx ls enter heaven']
144,,,,,,,,,,,[]
145,,,0.0,,,,,,,,[u'hay gx rx lexuses lexusls']
146,,,0.1,,,,,,,0.0,"[u'lexus except rx old man', u'lsit outsells sclass wo matter', u'sale lexuses rx vehicle not']"
147,,0.0,,,,,,,,,"[u'idea lexus ls incremental margin', u'incremental margin ls']"
148,,,,,,,,,,,[]
149,,0.25,,,,,,,,,[u'correctly noted ls stellar sale']
150,,0.0,,,,,,,,,[u'comparo said ls handling greasy']
151,,,,,,,,,,,[]
152,,,,,,,,,,,[]
153,,,,,,,,,,0.6,"[u'like know sclass model lshas', u'never seen sclass lose fight', u'car beat sclass something top', u'sale worldwide sclass still segment', u'leader far sclass say m']"
154,,,,,,,,,,,[]
155,,,0.0,,,,,,,0.0,"[u'extension lexuses rx mainstream car', u'car lexuses rx competed wagon', u'extension lexuses rx mainstream car', u'anyone make sclass except mb']"
156,,,,,,,,,,0.2727272727272727,"[u'sell new sclass sclass japan', u'new sclass sclass japan sclass', u'sclass japan sclass us especially']"
157,,0.0,,,,,,,,0.13636363636363635,"[u'd comparo ls acceleration brisk', u'included mb sclass without new', u'comparison would sclass']"
158,,,,,,,,,-0.275,0.6363636363636364,"[u'touch think sclass touch yup', u'continue outsell sclass time sale', u'continue outsell sclass sure course', u'least make xj seem pointless', u'thesclass new sclass new fancy']"
159,,,,,,,,,,,[]
160,,,-0.1,,,,,,,0.04285714285714286,"[u'trail archaic rx sec always', u'sell customer sclass instead sclass', u'sclass instead sclass instead ansclass', u'instead ansclass sclass instead sclass', u'sclass instead sclass adjusting equipment', u'plain ice sclass worth ansclass']"
161,,,,,,,,,,0.0,"[u'l won sclass would entirely', u'lexusls faced sclass sclass won', u'faced sclass sclass won course']"
162,0.0,,,,,,,,,,[u'lexus car es gs except']
163,,,0.0,,,,,,,,[u'lexuses gs rx gx lx']
164,,,,,,,,,,0.43333333333333335,[u'beholder e sclass style easy']
165,,,,,,,,,,2.1999999999999997,"[u'scto compete sclass primarily le', u'bottom line sclass better car', u'dna doc sclass better car', u'score last sclass win everytime', u'cost much sclass would apt']"
166,,,,,,,,,,,[]
167,,,,,,,,,,,[]
168,,,0.0,,,,,,,,[u'like lexuses rx accounting bulk']
169,,,,,,,,,,,[]
170,,,0.0,,,,,,,,[u'hay gx rx lexuses lexusls']
171,,0.25,,,,,,,,,[u'correctly noted ls stellar sale']
172,,,,,,,,,0.0,0.5892857142857142,"[u'saying single sclass model enough', u'enough hold xj look like', u'one supplement sclass pretty quick', u'using one sclass maybe possiblesclass', u'quick stand sclass selling rate', u'price current sclass coming fall']"
173,,,,,,,,,,0.0,[u'would choose sclass lsfor reason']
174,,,,,,,,,,,[]
175,,,,,,,,,,,[]
176,,,,,,,,,,0.55,"[u'price like sclass maybe know', u'mind compete sclass calling wo', u'thesclass g sclass sound good']"
177,,,,,,,,,0.35,0.9113636363636364,"[u'smoke new sclass freakin gorgeous', u'loved jaguar xj especially newest', u'plas new sclass one beautiful']"
178,,,,,,,,,,0.0,"[u'match person sclass sale last', u'even question sclass eclass matter']"
179,,,,,,,,,,,[]
180,,,-0.3,,,,,,,,"[u'competition lexus rx probably wrong', u'artificial insemenation rx clearly best', u'dream building rx dream drfill']"
181,,,,,,,,,,0.4681818181818182,"[u'thunder new sclass important market', u'market world sclass cost le', u'technology see sclass know getting', u'guess comparing sclass lexus want', u'get real sclass understand saying']"
182,,,,,,,,,,,[]
183,,,,,,,,,,,[]
184,,,,,,,,,,,[]
185,-0.15,,-0.15,,,,,,,,"[u'also moved rx gx lx', u'average gs es rx lx', u'gs es rx lx buyer']"
186,,,,,,,,,,,[]
187,,,,,,,,,,0.2,"[u'option whereas sclass price difference', u'cr review sclass lexusls package', u'anywhere difference sclass sclass roughly', u'difference sclass sclass roughly translates', u'athletic maybe sclass different drive', u'optional feature sclass available lexusls', u'lexusls ultra sclass justifiable enough']"
188,,,,,,,,,,,[]
189,,,,,,,,,,,[]
190,,,-0.375,,,,,,,-0.20000000000000004,"[u'weak cage rx already read', u'ca compare sclass lexusls compare', u'ansclass driven sclass difference not', u'not huge sclass stripped option', u'navigation standard sclass since navigation', u'not mention sclass athletic lsby']"
191,,,0.0,,,,,,,,[u'core competence rx lexuses lsthat']
192,,,,,,,,,0.0,0.0,"[u'last place sclass price tested', u'tested jaguar xj price tested']"
193,,,,,,,,,,,[]
194,,,,,,,,,,,['']
195,,,,,,,,,,,[]
196,,,,,,,,,,0.0,[u'something xjr sclass lexusls americans']
197,,,,,,,,,,,[]
198,,,,,,,,,,,[]
199,,,,,,,,,,,[]
200,,,-0.2916666666666667,,,,,,,,[u'car sell rx hardly luxury']
201,,,,,,,,,,0.0,"[u'phaeton cheaper sclass intended start', u'cheaper rival sclass lesser degree']"
202,,,,,,,,,,0.0,[u'car luxurious sclass softer leather']
203,,,0.0,,,,,,,,[u'overhaul excluding rx kill tho']
204,,,,,,,,,,,[]
205,,,0.5363636363636364,,,,,,,,"[u'ad campaign rx couple year', u'new feature rx yeah saw', u'engineer studying rx make much', u'know competes rx lexus really']"
206,,,,,,,,,,,[]
207,,,,,,,,,,,[]
208,,,,,,,,,,0.2857142857142857,[u'right board sclass devauled clone']
209,0.0,0.0,,,,,,,,-0.25,"[u'build gs ls lexuses see', u'trying build sclass past come', u'machine gs es conqured squat']"
210,0.0,0.0,,,,,,,,-0.25,"[u'build gs ls lexuses see', u'trying build sclass past come', u'machine gs es conqured squat']"
211,,,,,,,,,,0.0,[u'agree derivative sclass said post']
212,,,,,,,,,,,[]
213,,,0.0,,,,,,,,[u'suv market rx obliteration lux']
214,,,,,,,,,,,[]
215,,,,,,,,,,,[]
216,,,,,,,,,,,[]
217,,,0.8,,,,,,,,[u'suvs like rx make great']
218,,,,,,,,,,,[]
219,0.2,0.2,,,,,,,,,"[u'room case ls really would', u'really give es concept reliablity']"
220,,,,,,,,,,0.0,"[u'lease difference sclass couple hundred', u'afford lease sclass yet sclass', u'sclass yet sclass sell pitifully']"
221,,,,,,,,,,0.0,"[u'never beat sclass comparo seen', u'number lsbeats sclass match sedan']"
222,,,,,,,,,,,[]
223,,,,,,,,,,,[]
224,,,,,,,,,,,[]
225,,0.1,0.35714285714285715,,,,,,,,"[u'swivel headlight rx nothing special', u'word mechanicals rx not utility', u'old ad ls maybe attempt', u'sell leftover rx ad not', u'mercedes audi rx ad point', u'configuration minivan rx neither point', u'remember car rx ad ad']"
226,,,,,,,,,,1.0,"[u'mb make sclass despite le', u'best spend sclass get best']"
227,,,,,,,,,,,[]
228,,,,,,,,,,,[]
229,,,,,,,,,,,[]
